Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Stephen Curry,32,PG,63,63,34.2,10.4,21.7,0.482,5.3,12.7,0.421,5.1,9,0.569,0.605,5.7,6.3,0.916,0.5,5,5.5,5.8,1.2,0.1,3.4,1.9,32,MVP-3ASNBA1,curryst01
2,Andrew Wiggins,25,PF,71,71,33.3,7.1,14.9,0.477,2,5.2,0.38,5.1,9.7,0.529,0.543,2.4,3.4,0.714,1.2,3.7,4.9,2.4,0.9,1,1.8,2.2,18.6,,wiggian01
3,Draymond Green,30,PF,63,63,31.5,2.7,6,0.447,0.5,2,0.27,2.2,4,0.535,0.492,1.1,1.4,0.795,0.9,6.2,7.1,8.9,1.7,0.8,3,3.1,7,DPOY-3DEF1,greendr01
4,Kelly Oubre Jr.,25,SF,55,50,30.7,5.8,13.2,0.439,1.6,5.2,0.316,4.1,8,0.519,0.501,2.2,3.2,0.695,1.5,4.5,6,1.3,1,0.8,1.3,2.2,15.4,,oubreke01
5,James Wiseman,19,C,39,27,21.4,4.9,9.4,0.519,0.3,1,0.316,4.6,8.5,0.542,0.535,1.4,2.2,0.628,1.4,4.4,5.8,0.7,0.3,0.9,1.5,3.1,11.5,,wisemja01
6,Juan Toscano-Anderson,27,SG,53,16,20.9,2.3,3.9,0.579,0.7,1.7,0.402,1.6,2.2,0.718,0.667,0.4,0.6,0.71,0.5,3.9,4.4,2.8,0.8,0.5,1.2,2.1,5.7,,toscaju01
7,Kent Bazemore,31,SF,67,18,19.9,2.6,5.9,0.449,1.1,2.7,0.408,1.5,3.1,0.486,0.545,0.8,1.2,0.692,0.4,3,3.4,1.6,1,0.5,1.2,2.4,7.2,,bazemke01
8,Jordan Poole,21,SG,51,7,19.4,4,9.3,0.432,1.9,5.4,0.351,2.1,3.9,0.545,0.535,2.1,2.3,0.882,0.3,1.5,1.8,1.9,0.5,0.2,1,1.7,12,,poolejo01
9,Kevon Looney,24,C,61,34,19,1.8,3.2,0.548,0.1,0.3,0.235,1.7,3,0.578,0.558,0.5,0.8,0.646,1.9,3.4,5.3,2,0.3,0.4,0.6,2.2,4.1,,looneke01
10,Damion Lee,28,SG,57,1,18.9,2.2,4.8,0.467,1.4,3.4,0.397,0.9,1.4,0.638,0.608,0.7,0.8,0.909,0.4,2.8,3.2,1.3,0.7,0.1,0.5,1.6,6.5,,leeda03
11,Eric Paschall,24,PF,40,2,17.4,3.7,7.5,0.497,0.5,1.4,0.333,3.3,6.1,0.533,0.527,1.7,2.4,0.713,0.7,2.5,3.2,1.3,0.3,0.2,1.1,1.7,9.5,,pascher01
12,Brad Wanamaker,31,PG,39,0,16,1.6,4.4,0.353,0.3,1.6,0.213,1.2,2.9,0.429,0.39,1.3,1.4,0.893,0.2,1.5,1.7,2.5,0.7,0.2,0.9,1.4,4.7,,wanambr01
13,Jordan Bell,26,C,1,0,15,0,2,0,0,0,,0,2,0,0,1,2,0.5,1,4,5,2,0,2,1,2,1,,belljo01
14,Marquese Chriss,23,PF,2,0,13.5,2.5,7,0.357,0.5,2.5,0.2,2,4.5,0.444,0.393,1,2,0.5,1.5,5,6.5,1,0,1,1,1.5,6.5,,chrisma01
15,Mychal Mulder,26,PG,60,6,12.8,2,4.4,0.449,1.4,3.6,0.397,0.6,0.9,0.667,0.609,0.2,0.4,0.636,0.1,0.9,1,0.4,0.2,0.2,0.3,0.9,5.6,,muldemy01
16,Nico Mannion,19,PG,30,1,12.1,1.3,3.8,0.342,0.7,2,0.367,0.6,1.8,0.315,0.439,0.8,0.9,0.821,0.2,1.3,1.5,2.3,0.5,0,1,1,4.1,,mannini01
17,Alen Smailagić,20,PF,15,1,5.6,0.7,1.8,0.407,0.3,0.7,0.4,0.5,1.1,0.412,0.481,0.1,0.4,0.333,0.4,0.7,1.1,0.3,0.2,0.3,0.3,0.7,1.9,,smailal01
18,Gary Payton II,28,PG,10,0,4,1,1.3,0.769,0.2,0.4,0.5,0.8,0.9,0.889,0.846,0.3,0.4,0.75,0.2,0.9,1.1,0.1,0.6,0.1,0.1,0.8,2.5,,paytoga02
,Team Totals,,,72,72,240.3,41.3,88.2,0.468,14.6,38.7,0.376,26.7,49.4,0.541,0.551,16.6,21.1,0.785,8,35.1,43,27.7,8.2,4.8,15,21.2,113.7,,-9999
