Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
11,Lonnie Walker IV,24,SG,56,32,23.2,4.2,9.4,0.448,1.6,4.4,0.365,2.6,5,0.522,0.534,1.6,1.9,0.858,0.3,1.7,1.9,1.1,0.5,0.3,0.8,1.3,11.7,,walkelo01
12,Rui Hachimura,24,PF,33,9,22.4,3.8,7.9,0.485,0.6,2.2,0.296,3.2,5.7,0.556,0.525,1.3,1.8,0.721,1,3.7,4.7,0.7,0.2,0.4,0.5,1,9.6,,hachiru01
13,Thomas Bryant,25,C,41,25,21.4,4.8,7.3,0.654,0.5,1.2,0.44,4.3,6.1,0.697,0.691,2,2.6,0.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1,,bryanth01
14,Wenyen Gabriel,25,C,68,2,15.1,2.3,3.8,0.596,0.1,0.5,0.278,2.1,3.3,0.647,0.615,0.8,1.2,0.619,1.7,2.5,4.2,0.5,0.4,0.5,0.7,2.1,5.5,,gabriwe01
15,Kendrick Nunn,27,SG,39,2,13.5,2.6,6.4,0.406,1.1,3.2,0.325,1.6,3.2,0.488,0.488,0.4,0.5,0.81,0.1,1.3,1.4,0.9,0.3,0.1,0.8,0.9,6.7,,nunnke01
16,Max Christie,19,SG,41,3,12.5,1.1,2.6,0.415,0.6,1.5,0.419,0.4,1.1,0.409,0.538,0.3,0.4,0.875,0.2,1.7,1.8,0.5,0.2,0.2,0.3,0.8,3.1,,chrisma02
17,Juan Toscano-Anderson,29,SF,30,7,12.2,1.1,2.2,0.5,0.1,0.7,0.2,1,1.5,0.63,0.53,0.4,0.5,0.733,0.5,1.6,2,0.8,0.3,0.2,0.6,1.5,2.7,,toscaju01
18,Matt Ryan,25,SF,12,0,10.8,1.3,4.1,0.306,1.1,2.9,0.371,0.2,1.2,0.143,0.439,0.3,0.4,0.8,0.2,1,1.2,0.3,0.2,0,0.3,1.2,3.9,,ryanma01
19,Mo Bamba,24,C,9,1,9.8,1.2,3,0.407,0.6,1.8,0.313,0.7,1.2,0.545,0.5,0.7,1.2,0.545,1.2,3.3,4.6,0.4,0.1,0.6,0.9,2.1,3.7,,bambamo01
20,Damian Jones,27,C,22,1,8,0.9,1.7,0.541,0,0.1,0,0.9,1.5,0.588,0.541,0.7,0.9,0.75,0.8,1.7,2.5,0.2,0.1,0.5,0.4,0.8,2.5,,jonesda03
21,Sterling Brown,27,SF,4,0,6,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0.8,1.3,2,0.5,0.8,0,0,1,0,,brownst02
22,Cole Swider,23,SF,7,0,5.9,0.4,1.3,0.333,0.4,1.1,0.375,0,0.1,0,0.5,0,0,,0.1,0.9,1,0.6,0,0,0,0.4,1.3,,swideco01
23,Scotty Pippen Jr.,22,PG,6,0,5.3,0.7,2,0.333,0.2,0.5,0.333,0.5,1.5,0.333,0.375,0.8,1.5,0.556,0.3,0.3,0.7,0.3,0.3,0.2,0.3,0.5,2.3,,pippesc02
24,Davon Reed,27,SG,8,0,3.4,0.4,0.5,0.75,0.1,0.3,0.5,0.3,0.3,1,0.875,0.1,0.5,0.25,0.1,0.4,0.5,0.5,0.3,0,0,0.4,1,,reedda01
,Team Totals,,,82,82,242.4,42.9,89,0.482,10.8,31.2,0.346,32.1,57.8,0.555,0.542,20.6,26.6,0.775,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
